iter	Passed	Remaining
0	2	2227
1	3	1937
2	5	1789
3	6	1695
4	8	1656
5	9	1624
6	11	1632
7	13	1632
8	14	1632
9	16	1623
10	17	1611
11	19	1596
12	20	1575
13	22	1575
14	23	1564
15	25	1564
16	26	1556
17	28	1548
18	29	1539
19	31	1534
20	32	1529
21	34	1522
22	35	1518
23	37	1510
24	38	1509
25	40	1506
26	41	1510
27	43	1512
28	44	1506
29	46	1498
30	47	1490
31	49	1483
32	50	1477
33	51	1472
34	53	1466
35	54	1460
36	56	1458
37	57	1458
38	59	1461
39	60	1456
40	62	1453
41	63	1449
42	64	1444
43	66	1441
44	67	1438
45	69	1432
46	70	1428
47	71	1423
48	73	1423
49	74	1421
50	76	1418
51	77	1414
52	78	1410
53	80	1408
54	81	1403
55	83	1399
56	84	1395
57	85	1392
58	87	1394
59	88	1391
60	90	1394
61	92	1394
62	93	1390
63	94	1387
64	96	1383
65	97	1380
66	99	1379
67	100	1378
68	102	1376
69	103	1373
70	104	1371
71	106	1370
72	107	1367
73	109	1365
74	110	1363
75	111	1361
76	113	1359
77	114	1356
78	116	1353
79	117	1351
80	119	1350
81	120	1348
82	122	1348
83	123	1346
84	124	1344
85	126	1343
86	127	1339
87	129	1338
88	130	1336
89	131	1334
90	133	1332
91	134	1330
92	135	1322
93	137	1321
94	138	1320
95	139	1318
96	141	1316
97	142	1314
98	144	1311
99	145	1310
100	147	1308
101	148	1308
102	149	1304
103	151	1302
104	152	1300
105	154	1299
106	155	1297
107	156	1296
108	158	1294
109	159	1293
110	161	1291
111	162	1289
112	164	1287
113	165	1286
114	167	1285
115	168	1283
116	169	1282
117	171	1280
118	172	1278
119	174	1278
120	175	1277
121	177	1276
122	178	1274
123	180	1272
124	181	1270
125	182	1268
126	184	1266
127	185	1264
128	187	1263
129	188	1262
130	189	1260
131	191	1258
132	192	1255
133	194	1255
134	196	1256
135	197	1257
136	199	1256
137	200	1254
138	202	1254
139	204	1254
140	205	1252
141	207	1251
142	208	1249
143	209	1248
144	211	1246
145	212	1243
146	213	1241
147	215	1239
